순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
77,하재훈,SSG,0.251,105,310,283,40,71,19,0,10,120,36,2,5
78,고명준,SSG,0.249,104,361,337,32,84,13,0,11,130,45,0,0
79,오재일,KT,0.238,103,337,290,32,69,17,1,11,121,43,0,9
79,김태군,KIA,0.259,103,267,232,23,60,6,0,7,87,34,11,1
81,이유찬,두산,0.282,102,258,227,39,64,11,0,3,84,23,7,1
81,나성범,KIA,0.291,102,424,374,51,109,17,1,21,191,80,0,7
83,이창진,KIA,0.263,100,241,186,34,49,10,0,1,62,17,5,4
83,홍종표,KIA,0.295,100,115,105,27,31,4,3,0,41,11,3,0
83,문현빈,한화,0.274,100,276,248,27,68,15,2,5,102,44,1,1
86,전민재,두산,0.248,99,273,246,34,61,5,1,2,74,32,4,3
86,손호영,롯데,0.319,99,416,386,69,123,24,4,18,209,77,1,4
86,류지혁,삼성,0.26,99,346,300,43,78,9,1,3,98,36,5,2
89,장진혁,한화,0.268,96,321,284,56,76,16,0,9,119,44,5,1
90,문성주,LG,0.317,95,358,303,46,96,16,2,0,116,48,1,3
90,도태훈,NC,0.195,95,167,133,19,26,3,0,0,29,11,4,1
90,김기연,두산,0.278,95,283,252,31,70,10,0,5,95,31,4,3
90,도슨,키움,0.33,95,429,382,69,126,31,2,11,194,57,0,2
94,이병헌,삼성,0.245,94,163,143,8,35,4,0,1,42,9,2,0
94,고영우,키움,0.256,94,290,254,21,65,12,2,0,81,35,4,3
96,서건창,KIA,0.312,91,244,199,39,62,14,1,1,81,25,3,3
97,박건우,NC,0.344,89,362,323,58,111,23,1,13,175,53,0,2
98,이원석,한화,0.233,87,154,133,26,31,4,1,0,37,13,2,1
99,정준재,SSG,0.303,86,231,208,38,63,7,5,1,83,21,2,0
99,손성빈,롯데,0.197,86,171,152,24,30,6,2,6,58,21,1,2
99,정보근,롯데,0.225,86,136,129,9,29,0,1,2,37,7,4,0
102,천재환,NC,0.291,84,220,199,28,58,9,1,4,81,32,3,1
103,신본기,KT,0.281,83,151,121,18,34,3,0,3,46,19,9,2
104,박세혁,NC,0.264,82,171,148,21,39,9,0,1,51,10,5,1
105,손아섭,NC,0.29,81,350,328,45,95,16,0,7,132,50,2,4
105,안주형,삼성,0.22,81,165,141,24,31,2,0,0,33,8,12,0
107,라모스,두산,0.305,80,348,311,43,95,19,3,10,150,48,1,6
107,김건희,키움,0.249,80,269,249,27,62,14,0,9,103,37,0,4
109,최인호,한화,0.278,79,230,198,32,55,12,2,1,74,20,4,2
110,김현준,삼성,0.225,78,204,182,23,41,10,1,0,53,11,4,3
110,김태진,키움,0.227,78,187,176,24,40,6,2,0,50,9,5,0
112,추신수,SSG,0.282,77,301,252,40,71,14,1,5,102,37,2,6
112,박수종,키움,0.263,77,136,118,20,31,5,0,0,36,6,4,0
114,변상권,키움,0.255,75,229,216,16,55,3,1,5,75,21,0,1
115,천성호,KT,0.295,74,255,234,40,69,8,3,1,86,17,1,1
115,박지환,SSG,0.283,74,244,223,33,63,9,2,4,88,21,3,3
117,노진혁,롯데,0.219,73,157,137,13,30,6,0,2,42,13,2,2
118,최항,롯데,0.25,72,143,132,17,33,3,1,0,38,12,0,0
118,맥키넌,삼성,0.294,72,315,272,28,80,13,0,4,105,36,0,3
120,오윤석,KT,0.287,71,191,167,31,48,10,2,6,80,26,2,2
120,이재원,한화,0.244,71,149,131,10,32,4,0,1,39,16,2,5
122,김성현,SSG,0.227,70,167,141,21,32,3,1,1,40,15,5,1
123,김범석,LG,0.241,69,180,162,14,39,4,0,6,61,24,0,2
123,장두성,롯데,0.156,69,37,32,22,5,0,0,0,5,1,0,0
125,윤정빈,삼성,0.278,68,185,158,25,44,4,1,7,71,20,0,2
126,변우혁,KIA,0.296,66,177,162,20,48,8,2,5,75,18,0,1
127,박준영,두산,0.231,64,208,182,25,42,9,2,7,76,28,1,1
127,이정훈,롯데,0.303,64,115,99,10,30,8,0,0,38,18,1,2
129,박정우,KIA,0.286,63,60,56,14,16,3,1,0,21,10,0,0
130,하주석,한화,0.296,62,149,135,16,40,9,1,1,54,11,2,0
131,최정원,NC,0.257,61,136,113,30,29,3,0,0,32,12,1,2
131,김호령,KIA,0.135,61,58,52,11,7,2,0,1,12,3,0,0
133,조용호,KT,0.248,60,165,149,17,37,5,0,0,42,13,3,0
133,김대한,두산,0.139,60,86,72,10,10,1,0,1,14,7,2,2
