순위,선수명,팀명,ERA,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
71,전상현,KIA,4.02,0,0,0,7,267,1072,0.221,6,2,1,1,1,1,0
72,곽도규,KIA,3.56,0,0,0,4,248,1068,0.207,7,0,2,0,1,7,0
73,김재열,NC,2.03,0,0,0,4,272,1057,0.225,14,1,4,2,3,1,1
74,문승원,SSG,4.5,0,0,0,7,265,1056,0.283,7,0,1,2,3,2,0
75,주현상,한화,2.4,0,0,0,6,263,1055,0.193,8,2,4,1,0,1,0
76,시라카와,두산,5.65,0,0,2,0,264,1053,0.263,6,1,2,2,0,5,0
77,한두솔,SSG,4.99,0,0,0,0,267,1046,0.269,10,1,4,2,2,1,0
77,김기중,한화,6.55,0,0,1,0,273,1046,0.332,10,1,0,3,0,1,0
79,발라조빅,두산,4.34,0,0,2,0,244,1044,0.245,13,1,1,1,0,2,0
80,알칸타라,두산,4.76,0,0,5,0,270,1043,0.238,8,3,2,0,0,0,0
81,이용찬,NC,6.13,0,0,0,4,262,1042,0.353,20,3,5,2,1,6,0
82,홍건희,두산,2.73,0,0,0,6,264,1034,0.253,6,1,6,3,4,5,0
83,임창민,삼성,3.98,0,0,0,3,253,1031,0.279,10,0,2,4,2,5,0
84,김규연,한화,7.18,0,0,0,1,266,1017,0.292,10,1,5,3,1,3,0
85,오승환,삼성,4.91,0,0,0,8,262,1002,0.321,17,2,4,3,3,5,0
86,이준호,NC,7.91,0,0,0,0,233,987,0.342,11,0,2,3,0,0,0
87,이민우,한화,3.83,0,0,0,2,231,970,0.278,10,2,4,5,0,1,0
88,산체스,한화,4.22,0,0,2,0,245,960,0.283,9,1,1,1,1,2,1
89,이호성,삼성,7.4,0,0,0,0,224,952,0.351,13,1,3,5,0,3,0
90,임정호,NC,4.58,0,0,0,2,234,941,0.266,8,1,7,2,2,0,0
91,김동주,두산,6.84,1,0,0,0,244,914,0.315,12,3,1,5,0,7,1
92,이지강,LG,4.09,0,0,0,1,235,913,0.271,8,0,1,3,0,5,0
93,이승민,삼성,8.23,0,0,0,0,233,908,0.333,8,1,0,1,0,1,0
94,주권,KT,6.79,0,0,0,2,248,899,0.341,14,2,6,6,0,0,0
95,최지민,KIA,5.36,0,0,0,4,217,881,0.25,9,1,1,4,0,6,0
96,최지강,두산,3.24,0,0,0,2,222,878,0.253,7,2,1,1,2,3,0
97,김태훈,삼성,4.03,0,0,0,1,222,863,0.246,8,1,0,0,1,2,1
98,임기영,KIA,6.45,0,0,0,0,214,842,0.314,11,0,2,3,1,1,1
99,김유영,LG,3.86,0,0,0,0,209,840,0.273,7,0,3,3,0,3,1
100,정해영,KIA,2.59,0,0,0,3,202,804,0.247,5,1,0,0,2,0,0
101,박진,롯데,4.38,0,0,1,0,214,802,0.311,9,1,3,5,0,4,0
102,한재승,NC,4.06,0,0,0,3,197,798,0.221,6,1,1,3,0,6,0
103,에르난데스,LG,4.02,0,0,2,0,195,792,0.233,6,1,0,1,0,1,0
104,박치국,두산,6.13,0,0,0,2,217,788,0.31,5,0,3,2,1,1,1
105,최민준,SSG,7.78,0,0,0,0,202,782,0.353,9,1,2,0,1,1,0
106,김강률,두산,3.0,0,0,0,0,187,769,0.255,7,0,2,1,0,1,0
107,서진용,SSG,5.76,0,0,0,0,202,768,0.287,11,1,5,1,2,3,0
108,육청명,KT,5.44,0,0,0,0,208,766,0.297,13,1,2,5,2,3,0
109,주승우,키움,4.26,0,0,0,3,220,762,0.254,14,1,3,2,5,1,0
110,요키시,NC,5.72,0,0,2,0,189,756,0.313,11,2,3,1,0,2,0
111,이종민,키움,7.63,0,0,0,0,212,754,0.313,10,2,1,5,2,0,1
112,문성현,키움,6.57,0,0,0,0,189,751,0.342,6,2,1,3,0,2,0
113,손동현,KT,5.56,0,0,0,4,207,749,0.272,6,1,3,3,2,2,0
114,알드레드,KIA,4.53,1,1,3,0,184,748,0.235,4,0,2,1,0,1,0
115,최성영,NC,6.26,0,0,1,0,198,745,0.341,9,0,0,3,0,0,0
116,류진욱,NC,6.02,0,0,0,1,188,742,0.313,8,0,2,2,0,3,0
117,조동욱,한화,6.15,0,0,1,0,195,737,0.324,10,0,2,4,0,1,1
118,김영규,NC,3.15,0,0,0,1,183,734,0.244,4,0,2,2,0,1,0
119,김사윤,KIA,4.62,0,0,0,0,173,727,0.288,6,2,1,3,0,4,0
120,김성민,키움,4.34,0,0,0,4,188,722,0.273,4,0,2,3,0,3,1
121,크로우,KIA,3.57,0,0,1,0,172,710,0.259,7,0,0,1,1,0,0
122,황동재,삼성,4.07,0,0,0,1,180,707,0.248,9,1,2,3,0,5,0
123,페냐,한화,6.27,0,0,2,0,171,702,0.275,6,0,0,2,0,1,0
124,조영건,키움,7.68,0,0,0,1,184,695,0.308,10,0,1,3,0,3,0
125,우규민,KT,2.51,0,0,0,1,180,694,0.273,7,2,1,3,0,0,0
126,이우찬,LG,8.82,0,0,0,0,172,678,0.3,6,1,1,0,0,6,1
127,최지광,삼성,2.23,0,0,0,3,154,674,0.176,6,1,1,3,2,2,1
128,김범수,한화,5.29,0,0,0,1,157,669,0.254,2,0,1,1,1,3,0
129,박종훈,SSG,6.94,0,0,1,0,164,662,0.276,7,0,0,1,0,3,0
130,김서현,한화,3.72,0,0,0,1,166,660,0.206,5,2,1,0,0,2,0
131,조상우,키움,3.18,0,0,0,2,171,652,0.272,6,0,2,2,1,1,0
132,김명신,두산,9.37,0,0,0,1,168,650,0.409,7,0,2,2,0,1,0
133,송명기,NC,6.37,0,0,0,0,163,646,0.284,7,1,1,3,1,7,0
134,이교훈,두산,7.53,0,0,0,0,164,640,0.301,11,1,2,0,0,0,0
134,장시환,한화,5.13,0,0,0,0,156,640,0.266,6,1,3,2,0,0,0
136,조이현,KT,6.3,0,0,0,0,184,636,0.314,11,1,2,2,1,1,0
137,전미르,롯데,5.88,0,0,0,5,155,619,0.256,10,0,3,1,2,3,0
138,정철원,두산,6.61,0,0,0,1,160,612,0.297,7,2,1,1,0,0,0
139,김건국,KIA,7.86,0,0,0,0,165,594,0.327,8,0,0,2,0,3,0
140,김유성,두산,6.92,0,0,0,0,133,593,0.267,10,0,0,0,0,2,0
141,이민석,롯데,7.81,0,0,0,0,141,591,0.316,5,3,0,0,0,1,0
142,이준영,KIA,4.09,0,0,0,1,152,590,0.275,8,0,3,0,3,0,0
143,임상현,NC,5.35,0,0,1,0,154,585,0.273,10,0,0,1,0,1,0
144,이인복,롯데,9.55,0,0,1,0,159,580,0.358,14,0,1,5,0,4,0
145,최하늘,삼성,5.34,0,0,0,1,139,579,0.234,4,0,3,5,0,2,0
146,이상동,KT,5.34,0,0,0,0,152,568,0.328,9,0,1,6,1,4,1
146,이상규,한화,5.83,0,0,0,1,138,568,0.3,6,1,2,0,1,1,0
148,성재헌,KT,7.31,0,0,0,0,159,564,0.351,13,2,3,4,2,2,1
149,김대현,LG,5.56,0,0,0,2,152,553,0.254,6,1,0,2,0,5,0
150,김연주,키움,7.06,0,0,0,2,142,545,0.286,10,0,0,1,1,2,0
